lz_name,Helipad? 1/0,lz_city,lz_state,lz_zip,lz_type,added_time,update_time,lz_id,address1,address2,cap_trauma,cap_cardiac,cap_stroke,cap_ob,cap_burn,cap_ped,main_phone,ed_phone,icu_phone,ccu_phone,sec_phone,ed_contact,icu_contact,ccu_contact,sec_contact,sec_freq,ground_name,ground_phone,exterior,faa_nav_id,nav_id,comm_channel,awos,nav_freq,lat_dec,lon_dec,lz_desc,hazards,app_dep,dimensions,max_weight,surface,windsock,elevation,lighting,fuel,ifr,nav_id_alt,lat_dec_alt,lon_dec_alt,desc_alt,comments
Russell Medical Center - AE 112,1,Alexander City,AL,,Hospital,2/17/2017 17:33,5/1/2017 19:42,7336,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.9301,-85.9709,"Ground level pad. Bright blue with white H and boarder
KALX lies 1 mile to the South/Southeast",,,,,,,,,0,0,,0,0,,
AE 112 Grandview,1,Birmingham,AL,,Hospital,2/17/2017 17:39,2/17/2017 17:40,7338,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33.432848,-86.716092,,,,,,,,,,0,0,,0,0,,
AE 112 Bennefield Funeral Home,0,Wedowee,AL,,Scene,2/17/2017 17:44,3/22/2017 5:54,7339,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33.32045,-85.483367,,,,,,,,,,0,0,,0,0,,
AE 112 Jacksonville Medical Center,0,Jacksonville,AL,,Scene,2/17/2017 17:46,2/17/2017 17:46,7340,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33.785133,-85.76206,,,,,,,,,,0,0,,0,0,,
Perry-AL-01 (PELA pad at Marion AL),1,Marion,AL,,Scene,2/20/2017 16:42,2/20/2017 16:42,7618,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.619,-87.3165,Concrete Pad in NW corner of field tucked in near large trees.  Field has been mostly cleared except wires running from NE to SW in south half of field.,"North:  Trees and wires along road; East 3-4 ft high mound in field, wires and trees at edge of field; South:  wires running from NE to SW in south half of field; West:  Trees and Buildings at edge of field.  Field can be dusty.  Perry Vol FD will wet down the field if called out.",Best Approach Heading:  North.  Can approach heading West.,Small Pad,,Concrete,Y,,N,0,0,,0,0,,
Marengo-AL-02 Linden,0,Linden,AL,,Scene,2/21/2017 1:51,2/21/2017 23:43,7654,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.295,-87.798333,Parking lot south of railroad and building,,,,,,,,,0,0,,0,0,,
Marengo-AL-03 Coxheath,0,Coxheath,AL,,Scene,2/21/2017 1:55,2/21/2017 23:43,7655,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.0891,-87.911333,Lot at old Coxheath School on HWY10,,,,,,,,,0,0,,0,0,,
Marengo-AL-04 Dixon Mills,x,Dixon Mills,AL,,Scene,2/21/2017 23:47,2/21/2017 23:47,7720,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.05945,-87.789533,Lot behind Dixon Mills Fire Department on County Road 6,,,,,,,,,0,0,,0,0,,
Marengo-AL-05 Faunsdale,1,Faunsdale,AL,,Scene,2/21/2017 23:56,2/21/2017 23:56,7722,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.46835,-87.594933,Lot on NW corner of the intersection of US80 and HWY25.,Be aware of the cell tower on the WNW side and of the high power lines on the west side.,,,,,,,,0,0,,0,0,,
Marengo-AL-06 Magnolia,1,Magnolia,AL,,Scene,2/21/2017 23:59,2/22/2017 0:01,7723,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.134733,-87.662333,Lot on the east side of Magnolia Community House,,,,,,,,,0,0,,0,0,,
Marengo-AL-07 Myrtlewood,1,Myrtlewood,AL,,Scene,2/22/2017 0:04,2/22/2017 0:04,7724,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.251533,-87.95075,Lot behind the Myrtlewood Town Hall (next to the water tower).,,,,,,,,,0,0,,0,0,,
Marengo-AL-08 Sweet Water,1,Sweet Water,AL,,Scene,2/22/2017 0:09,2/22/2017 0:09,7726,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.094517,-87.866467,Lot south of Sweet Water High Football Field (practice field),,,,,,,,,0,0,,0,0,,
Marengo-AL-09 Thomaston,1,Thomaston,AL,,Scene,2/22/2017 0:11,2/22/2017 0:11,7727,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.267333,-87.6085,Field on NW corner of the intersection of HWY28 and County Road 53.,,,,,,,,,0,0,,0,0,,
Marengo-AL-10 Vineland,1,Vineland,AL,,Scene,2/22/2017 0:16,2/22/2017 0:23,7728,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.036133,-87.66045,Lot on the NW corner of the intersection of HWY25 and HWY10 (behind the store).,Be aware of the wires from the store to the trailer in the LZ.,,,,,,,,0,0,,0,0,,
Marengo-AL-11 Putnam,1,Putnam,AL,,Scene,2/22/2017 0:19,2/22/2017 0:19,7729,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.0231,-88.030933,Grassy lot next to Putnam Baptist Church at the intersection of County Road 4 and HWY69.,,,,,,,,,0,0,,0,0,,
Marengo-AL-12 Surginer,1,Surginer,AL,,Scene,2/22/2017 0:22,2/22/2017 0:22,7731,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.067167,-87.719333,"Open field slightly NE of the intersection of County Road 55 and 56, located just south of Surginer VFD.",,,,,,,,,0,0,,0,0,,
Greene-AL-01 (Boligee Fire Department),1,Boligee,AL,,Scene,2/23/2017 12:59,2/23/2017 12:59,7901,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.788333,-88.028667,Driveway of Fire Dept,"Pole on top of FD, poles in field south, Wires along west side of road",Any,120 ft from road to bldg,,concrete,N,,N,0,0,,0,0,,
Greene-AL-02 (Paramount School - old) ,1,Boligee,AL,,Scene,2/23/2017 13:10,2/23/2017 14:23,7902,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.792183,-88.02885,Large field between old school and Highway.  School has closed and was bought for private use.  Greene-AL-09 (Chevron Site) is just NW of this LZ across highway 20.,Wires along west side of road and crossing over road in north portion of field.  Light poles east of field.,Any,large,,grass,N,,N,0,0,,0,0,,
Greene-AL-03 (Boligee Post Office) ,1,Boligee,AL,,Scene,2/23/2017 13:24,2/23/2017 13:24,7903,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.7576,-88.029933,Center portion of large field next to (NW of) Post Office.  Area between trees is approximately 120 ft x 150 ft.,Wires along far side of road on NE side.  Wires far side of along road on SW side.  Wires far side of along road set back on NW side.  Wires along near side of road NE in north corner of field.  Several trees in field.,Any,> 100 ft x 100 ft,,Grass,N,,N,0,0,,0,0,,
"Greene-AL-04 (REM Directional, Inc.) ",1,Boligee,AL,,Scene,2/23/2017 13:35,2/23/2017 13:35,7904,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.755,-88.01895,Large field north of company.  May be difficult to access via ground for other-than-company-involved situation.,Wires south along parking lot.  Wires East near side of road.  Dusty gravel lot south.,Best Approach Heading:  E or W,Very Large,,Bush-hogged grass,N,,N,0,0,,0,0,,
Greene-AL-05 (Boligee Park),1,Boligee,AL,,Scene,2/23/2017 13:43,2/23/2017 13:43,7905,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.75555,-88.029833,Town Park - Field inside Knife Blade Shaped Track Loop,Wires East and South,Best Approaching Heading:  E or W,Very Large,,Grass,N,,N,0,0,,0,0,,
Greene-AL-06 (Boligee Pump Station),1,Boligee,AL,,Scene,2/23/2017 13:49,2/23/2017 13:49,7906,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.780083,-88.045567,Very Large field south of pumping station.,Pumping station and wires north.  Dirt road east.  Tower quarter mile SW.,Any,Very Large,,,,,,0,0,,0,0,,
Greene-AL-07 (Industrial Park Crossroads),1,Boligee,AL,,Scene,2/23/2017 14:07,2/23/2017 14:07,7907,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.783967,-88.048567,Gravel area in field east side of Road T (Co. Road 80 and Bell) just NW of Interstate 20,"Wires SW far side of road.  Small touchdown area toward very center of field due to slopes, drop-offs, brush.  Best ground approach is from the west which is upsloping form the landing area.  Landing area may be overgrown at times.",Any,,,,N,,N,0,0,,0,0,,
Greene-AL-08 (Outland River Tanks),1,Boligee,AL,,Scene,2/23/2017 14:14,2/23/2017 14:14,7908,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.79245,-88.062783,Large N-S running field near NW corner of Tank Farm.  Ground access is via several locked gates through the tank farm.  A more accessible field is south of the tanks near the road.,Trees.  Potential HAZMAT considerations.,Best Approach Heading:  N or S,> 150 ft x 200 ft,,,N,,N,0,0,,0,0,,
Greene-AL-09 (Chevron Site),1,Boligee,AL,,Scene,2/23/2017 14:21,2/23/2017 14:24,7909,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.792833,-88.03,Very Large field west of highway 20 south of Chevron station and just NW of Greene-AL-02 (Paramount School - old),Wires east near side of road to east.  Wires north along road.  Ditch on west and south sides.,Any,> 200 ft x 200 ft,,,N,,N,0,0,,0,0,,
Greene-AL-10 (Two Rivers Neighborhood),1,West Greene,AL,,Scene,2/23/2017 14:33,2/23/2017 14:33,7910,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.975167,-88.166667,Vacant lot of Neighborhood for Air Medical Response.,"Tall trees all side. A larger, L-shaped field 0.8 miles east (just west of train tracks) may be available.",,,,,N,,N,0,0,,32.97545,-88.152717,"This L-shaped field 0.8 miles east of primary LZ in Neighborhood, and just west of train tracks may be available, but is fenced with locked gate.",
Greene-AL-11 (Duffys Bend Club),1,Forkland,AL,,Scene,2/23/2017 14:42,2/23/2017 14:42,7911,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.648667,-87.777367,Yard SW of Residence with planted field SW of dirt drive.  Yard is about 100 ft x 55 ft.  Yard and field together are 100 ft x 150 ft.,Trees,Best Approach Heading:  N or E,100 ft x 55 ft,,,N,,N,0,0,,0,0,,
Hale-AL-01 (Residence) ,1,Sawyerville,AL,,Scene,2/23/2017 14:53,2/23/2017 14:53,7912,,,0,0,0,0,0,0,,,,,,,,,,,,,,,36AA,,,,32.716933,-87.7495,Helipad in backyard of resident's house.,"Private structures north and west.  Trees SW, W, and E.",Best Approach Heading:  N or SW,35 ft x 35 ft,,Painted Concrete,Y,,Upon Request,0,0,,0,0,,For Private and Air Medical Use
Hale-AL-02 (Large Field near Locks) ,1,Sawyerville,AL,,Scene,2/23/2017 15:11,2/23/2017 15:11,7913,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.7745,-87.83,Field behind Locks gate at end of County Road 38.  Various areas to land near Lock Operator Main Building.,"Wires North near gate, zig-zagging to building.  Flag pole at building.  Several tall light poles in field area.  Taller communication tower in compound along river.",Any,large,,Grass or pavement,N,,,0,0,,0,0,,
Wilcox-AL-02 (Pine Hill FD) ,1,Pine Hill,AL,,Scene,2/23/2017 15:25,2/23/2017 15:26,7914,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.988,-87.5905,Park&#044; very large field inside walking track&#044; behind Fire Dept,Poles north.  Tall trees W&#044; S&#044; E.  Wires along road east and going to the residence south.  Shallow ditch running across middle of field.,Any,300 ft x 300 ft,,grass,N,,N,0,0,,0,0,,
Wilcox-AL-04 (Intl Paper Mill) ,1,Pine Hill,AL,,Scene,2/23/2017 15:28,2/23/2017 15:35,7915,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.968767,-87.477033,Grass area south of main plant/mill building&#044; north of admin building and parking lot.,Tall light poles north along E-W access road&#044; buildings SW and SE.  Potential for HAZMAT concerns may require different landing area.  Do not overfly main plant structure.,Best Approach Heading N&#044; E&#044; W.  Do not overfly main plant structure north of landing area.,110 ft x 110 ft,,grass,Y,,area,0,0,,0,0,,
Sumter-AL-01 (Livingingston Fire Department),1,Livingston,AL,,Scene,2/23/2017 15:41,2/23/2017 15:41,7916,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.607533,-88.182083,Lot behind Fire Dept,"Tall wires west along road, tall wires south, tower on top of fire dept.  Loose debris along tree line to the north.  Slopes up toward fire dept buildings.",Best Approach heading:  W,,,grass,N,,N,0,0,,0,0,,
Clarke-AL-01 Coffeeville High School,1,Coffeeville,AL,,Scene,3/2/2017 23:16,3/2/2017 23:26,8187,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.761667,-88.088333,Closed High School,,,,,,,,,0,0,,0,0,,
Clarke-AL-03 GroveHill Hospital Pad,1,Grove Hill,AL,,Hospital,3/2/2017 23:26,3/2/2017 23:26,8189,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.693667,-87.7745,Helipad at hospital,,,,,,,,,0,0,,0,0,,
Clarke-AL-04 Grove Hill HWY 84,1,Grove Hill,AL,,Scene,3/2/2017 23:30,3/2/2017 23:30,8190,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.695333,-87.786,Anywhere on HWY 84 that is flat.  Intersection of HWY 84 and Max Gillis Road.,,,,,,,,,0,0,,0,0,,
Clarke-AL-05 Jackson Hospital Pad,1,Jackson,AL,,Hospital,3/2/2017 23:32,3/2/2017 23:32,8191,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.5315,-87.895667,Helipad at Hospital,,,,,,,,,0,0,,0,0,,
Clarke-AL-06 Jackson North Station LZ,1,Jackson,AL,,Scene,3/2/2017 23:36,3/2/2017 23:36,8192,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.55,-87.880833,LZ at North Station.  Open field east of Jackson High School.,,,,,,,,,0,0,,0,0,,
Clarke-AL-07 Jackson Baptist Church,1,Jackson,AL,,Scene,3/2/2017 23:38,3/2/2017 23:38,8193,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.552167,-87.933333,Parking Lot at Stave Creek Baptist Church.,,,,,,,,,0,0,,0,0,,
Clarke-AL-08 Winn Fire Station,1,Winn,AL,,Scene,3/3/2017 0:48,3/3/2017 0:48,8194,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.661,-87.917667,Field at Fire Station,,,,,,,,,0,0,,0,0,,
Clarke-AL-09 Tallahatta Springs Road,1,Thomasville,AL,,Scene,3/3/2017 0:52,3/3/2017 0:53,8195,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.902333,-87.853,Beeley Patch,,,,,,,,,0,0,,0,0,,
Clarke-AL-10 Tallahatta Springs Road,1,Thomasville,AL,,Scene,3/3/2017 0:56,3/3/2017 0:56,8196,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.9075,-87.8665,Sander Hay Field,,,,,,,,,0,0,,0,0,,
Clarke-AL-11 Tallahatta Fire Station,1,Thomasville,AL,,Scene,3/3/2017 0:59,3/3/2017 0:59,8197,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.9075,-87.913,Fire Station,,,,,,,,,0,0,,0,0,,
Clarke-AL-12 Campbell's Landing Boat Launch,1,Campbell,AL,,Scene,3/3/2017 1:02,3/3/2017 1:16,8198,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.959833,-88.066333,Land on the road that leads to the boat landing.,,,,,,,,,0,0,,0,0,,
Clarke-AL-13 Campbell's Landing Field,1,Campbell,AL,,Scene,3/3/2017 1:05,3/3/2017 1:15,8199,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.962667,-88.061167,Land between the road and the wood line on the west side.,,,,,,,,,0,0,,0,0,,
Clarke-AL-14 Campbell's Landing Store,1,Campbell,AL,,Scene,3/3/2017 1:08,3/3/2017 1:14,8200,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.923167,-87.981,Store parking lot,,,,,,,,,0,0,,0,0,,
AE 112 Cleburne 1A,1,Alexandria,AL,36250,Scene,3/5/2017 9:34,3/5/2017 9:34,8425,7522 Hwy 431,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33.780964,-85.895974,,,,,,,,,,0,0,,0,0,,
AE 112 Cleburne Co PELA 1A,1,Alexandria,AL,,Scene,3/5/2017 9:38,3/5/2017 9:38,8426,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33.535167,-85.646167,Cleburne PELA 1A  ( Dan Hopkins Field ),,,,,,,,,0,0,,0,0,,
AE 112 Cleburne PELA 1B,1,Cheaha,AL,,Scene,3/5/2017 9:42,3/5/2017 9:42,8428,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33.4713,-85.806217,Cheaha MTN Trailhead,,,,,,,,,0,0,,0,0,,
AE 112 Cleburne PELA 3A,1,Ranburne,AL,,Scene,3/5/2017 9:48,3/5/2017 9:48,8431,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33.530667,-85.333683,Behind Fire Department,,,,,,,,,0,0,,0,0,,
AE 112 Cleburne PELA 4A,1,Fruithurst,AL,,Scene,3/5/2017 9:49,3/5/2017 9:49,8432,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33.732333,-85.435167,,,,,,,,,,0,0,,0,0,,
AE 112 Cleburne PELA 5A,1,Heflin,AL,,Scene,3/5/2017 9:51,3/5/2017 9:51,8433,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33.645267,-85.438633,Weigh Station,,,,,,,,,0,0,,0,0,,
AE 112 Cleburne PELA 6A,1,Ranburne,AL,,Scene,3/5/2017 9:53,3/5/2017 9:53,8434,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33.594167,-85.367,Behind Macedonia Fire Department,,,,,,,,,0,0,,0,0,,
AE 112 Cleburne PELA 8B,1,Heflin,AL,,Scene,3/5/2017 10:09,3/5/2017 10:09,8435,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33.708383,-85.510333,Field East of General Store,,,,,,,,,0,0,,0,0,,
AE 112 Cleburne PELA 9B,1,Muscadine,AL,,Scene,3/5/2017 10:11,3/5/2017 10:11,8437,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33.77255,-85.381183,Muscadine Fire Department,,,,,,,,,0,0,,0,0,,
AE 112 Cleburne PELA 12B,1,Borden Springs,AL,,Scene,3/5/2017 10:13,3/5/2017 10:28,8439,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33.94245,-85.448983,Station 12  ( DAY Only ),,,,,,,,,0,0,,0,0,,
AE 112 Cleburne PELA 14B,1,Heflin,AL,,Scene,3/5/2017 10:15,3/5/2017 10:15,8440,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33.565,-85.434017,"Field E of Church, or Church Parking Lot",,,,,,,,,0,0,,0,0,,
AE 112 Cleburne PELA 14C,1,Helfin,AL,,Scene,3/5/2017 10:17,3/5/2017 10:17,8441,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33.61935,-85.474117,"Field North of Tallapoosa River Bridge, on Hwy 46",,,,,,,,,0,0,,0,0,,
AE 112 Cleburne PELA 15A,1,Heflin,AL,,Scene,3/5/2017 10:18,3/5/2017 10:18,8442,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33.4957,-85.535283,Micaville Fire Department,,,,,,,,,0,0,,0,0,,
AE 112 Cleburne PELA 7A,1,Muscadine,AL,,Scene,3/5/2017 10:51,3/5/2017 10:51,8449,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33.824,-85.432267,Fire Department,,,,,,,,,0,0,,0,0,,
Choctaw-AL-01 Choctaw Airport,1,Butler,AL,,Airport,3/5/2017 23:17,3/5/2017 23:17,8501,,,0,0,0,0,0,0,,,,,,,,,,,,,,,K09A,,,,32.118333,-88.126667,Butler Choctaw Airport K09A,,,,,,,,,0,0,,0,0,,
Choctaw-AL-02 Cromwell Halsel,1,Ward,AL,,Scene,3/5/2017 23:22,3/5/2017 23:22,8502,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.245,-88.273333,Field NW of VFD,,,,,,,,,0,0,,0,0,,
Choctaw-AL-03 Gilbertown,1,Gilbertown,AL,,Scene,3/5/2017 23:24,3/5/2017 23:24,8503,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.878333,-88.323333,South of town hall.,,,,,,,,,0,0,,0,0,,
Choctaw-AL-04 Isney,1,Isney,AL,,Scene,3/5/2017 23:26,3/5/2017 23:26,8504,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.781667,-88.45,West of church,,,,,,,,,0,0,,0,0,,
Choctaw-AL-05 Jachin,1,Jachin,AL,,Scene,3/5/2017 23:28,3/5/2017 23:28,8505,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.23,-88.168333,Field NE of old store,,,,,,,,,0,0,,0,0,,
Choctaw-AL-06 Lisman,1,Lisman,AL,,Scene,3/5/2017 23:30,3/5/2017 23:30,8506,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.175,-88.301667,Field north of old school,,,,,,,,,0,0,,0,0,,
Choctaw-AL-07 Melvin,1,Melvin,AL,,Scene,3/5/2017 23:32,3/5/2017 23:32,8507,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.93,-88.463333,East of Fire Department,,,,,,,,,0,0,,0,0,,
Choctaw-AL-08 Pennington,1,Pennington,AL,,Scene,3/5/2017 23:34,3/5/2017 23:34,8508,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.21,-88.055,Baseball field,,,,,,,,,0,0,,0,0,,
Choctaw-AL-09 Riderwood Drive,1,Butler,AL,,Scene,3/5/2017 23:37,3/5/2017 23:40,8509,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.09,-88.251667,Old runway,,,,,,,,,0,0,,0,0,,
Choctaw-AL-10 Scott Mountain,1,Butler,AL,,Scene,3/5/2017 23:39,3/5/2017 23:39,8510,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.076667,-88.371667,South of Fire Department,,,,,,,,,0,0,,0,0,,
Choctaw-AL-11 Shady Grove School,1,Butler,AL,,Scene,3/5/2017 23:43,3/5/2017 23:43,8511,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.785,-88.255,Field south of school,,,,,,,,,0,0,,0,0,,
Choctaw-AL-12 Silas,1,Silas,AL,,Scene,3/5/2017 23:44,3/5/2017 23:44,8512,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.768333,-88.326667,East of old school,,,,,,,,,0,0,,0,0,,
Choctaw-AL-13 Southern Choctaw School,1,Gilbertown,AL,,Scene,3/5/2017 23:48,3/5/2017 23:48,8513,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.84,-88.315,South football field,,,,,,,,,0,0,,0,0,,
Choctaw-AL-14 Butler Choctaw Hospital,1,Butler,AL,,Hospital,3/5/2017 23:50,3/5/2017 23:50,8514,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.093333,-88.21,Butler Choctaw Hospital,,,,,,,,,0,0,,0,0,,
Choctaw-AL-15 Yantly,1,Yantly,AL,,Scene,3/5/2017 23:52,3/5/2017 23:52,8515,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.238333,-88.395,Field north of church,,,,,,,,,0,0,,0,0,,
Choctaw-AL-16 Needham,1,Needham,AL,,Scene,3/5/2017 23:54,3/5/2017 23:55,8516,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,31.9865,-88.33485,Field south of school on highway 11,,,,,,,,,0,0,,0,0,,
Perry-AL-02 Oakmulgee VFD,1,Marion,AL,,Scene,3/6/2017 22:18,3/6/2017 22:18,8544,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.647667,-87.096667,Field adjacent to Fire Department,,,,,,,,,0,0,,0,0,,
Perry-AL-03 Uniontown,1,Uniontown,AL,,Scene,3/6/2017 22:20,3/6/2017 22:20,8545,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.434417,-87.498633,Dirt field west of County Road 1,,,,,,,,,0,0,,0,0,,
Perry-AL-04 Vaiden Airport,1,Vaiden,AL,,Airport,3/6/2017 22:22,3/6/2017 22:22,8546,,,0,0,0,0,0,0,,,,,,,,,,,,,,,KA08,,,,32.502383,-87.3794,Vaiden Airport,,,,,,,,,0,0,,0,0,,
Perry-AL-05 Hieberger VFD,1,Heiberger,AL,,Scene,3/6/2017 22:25,3/6/2017 22:26,8547,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.758333,-87.291667,Pasture north of HVFD,,,,,,,,,0,0,,0,0,,
Wilcox-AL-01 Private Residence,1,Pine Hill,AL,,Scene,3/6/2017 22:31,3/6/2017 22:31,8548,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.0173,-87.61795,Triangular yard adjacent to residence,,,,,,,,,0,0,,0,0,,
Wilcox-AL-03 WM Bill Dannelly Lake,1,Millers Ferry,AL,,Scene,3/6/2017 22:35,3/6/2017 22:35,8549,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.114667,-87.384833,Field NW of 40/28 and Beach Road,,,,,,,,,0,0,,0,0,,
Sumter-AL-02 Geiger VFD,1,Geiger,AL,,Scene,3/6/2017 22:41,3/6/2017 22:41,8550,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.848,-88.307783,Geiger VFD,,,,,,,,,0,0,,0,0,,
Sumter-AL-03 P-Arrow Hunting Club,1,Livingston,AL,,Scene,3/6/2017 22:44,3/6/2017 22:44,8551,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.636683,-88.1641,P-Arrow hunting club.  Open field by lake.,,,,,,,,,0,0,,0,0,,
Sumter-AL-04 Chem Waste,1,Emelle,AL,,Scene,3/6/2017 22:46,3/6/2017 22:46,8552,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.792833,-88.305167,Chemical Waste in Emelle,,,,,,,,,0,0,,0,0,,
Sumter-AL-05 Epes Baseball Diamond,1,Epes,AL,,Scene,3/6/2017 22:48,3/6/2017 22:48,8553,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.688667,-88.126667,Baseball diamond off highway 11 in Epes,,,,,,,,,0,0,,0,0,,
Sumter-AL-06 Epes Cloverleaf,1,Epes,AL,,Scene,3/6/2017 22:51,3/6/2017 22:51,8554,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.701167,-88.141667,NE cloverleaf of I-59/20 city of Epes,,,,,,,,,0,0,,0,0,,
Sumter-AL-07 Epes Pasture,1,Epes,AL,,Scene,3/6/2017 22:52,3/7/2017 4:13,8555,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.677667,-88.15,Pasture NW side of highway 11 located 1.5 miles SW of Epes,,,,,,,,,0,0,,0,0,,
Marengo-AL-13,1,Demopolis,AL,,Scene,3/7/2017 15:50,3/7/2017 15:50,8633,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.486061,-87.787456,"Sports Complex east of city
In between fields next to small office and gravel lot",,,,,,,,,0,0,,0,0,,
Marengo-AL-14,1,Demopolis,AL,,Scene,3/7/2017 15:53,3/7/2017 15:53,8634,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.524997,-87.839314,Boat landing,,,,,,,,,0,0,,0,0,,
Marengo-AL-15,1,Demopolis,AL,,Scene,3/7/2017 15:58,3/7/2017 15:58,8635,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.506708,-87.856678,West Side School. Grass field by playground,Tall power lines on road.,,,,,,,,0,0,,0,0,,
